Cannot initialize model with low cpu memory usage because `accelerate` was not found in the environment. Defaulting to `low_cpu_mem_usage=False`. It is strongly recommended to install `accelerate` for faster and less memory-intense model loading. You can do so with: 
```
pip install accelerate
```
.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading cached analyzer from ./results/sweep_in100/cluster_cache.pkl...
  Loaded. Mode counts: [2, 3, 4, 5]
  alpha=0.3, beta=0.3, gamma=0.2, delta=0.2

============================================================
Config: v2_full_cags (alpha=0.3, beta=0.3, gamma=0.2, delta=0.2)
  Full CAGS (main weights)
============================================================
  Class 26: complexity=0.4615, modes=4, entropy=0.928, intra_var=0.198, sep=0.148
  Class 36: complexity=0.4358, modes=2, entropy=0.960, intra_var=0.134, sep=0.154
  Class 69: complexity=0.4305, modes=2, entropy=0.940, intra_var=0.123, sep=0.150
  Class 10: complexity=0.4317, modes=2, entropy=0.972, intra_var=0.083, sep=0.149
  Class 1: complexity=0.4848, modes=2, entropy=0.973, intra_var=0.451, sep=0.162
  Class 9: complexity=0.4533, modes=2, entropy=0.926, intra_var=0.308, sep=0.160
  Class 35: complexity=0.5075, modes=2, entropy=0.961, intra_var=0.603, sep=0.144
  Class 98: complexity=0.4475, modes=2, entropy=0.992, intra_var=0.155, sep=0.145
  Class 33: complexity=0.4677, modes=2, entropy=1.000, intra_var=0.283, sep=0.148
  Class 56: complexity=0.4328, modes=2, entropy=0.998, intra_var=0.049, sep=0.147
  Class 16: complexity=0.5074, modes=2, entropy=1.000, intra_var=0.555, sep=0.155
  Class 32: complexity=0.4224, modes=2, entropy=0.939, intra_var=0.068, sep=0.149
  Class 85: complexity=0.4241, modes=2, entropy=0.994, intra_var=0.000, sep=0.152
  Class 24: complexity=0.5063, modes=2, entropy=0.988, intra_var=0.552, sep=0.142
  Class 58: complexity=0.4749, modes=2, entropy=1.000, intra_var=0.327, sep=0.145
  Class 20: complexity=0.4944, modes=2, entropy=0.975, intra_var=0.500, sep=0.150
  Class 43: complexity=0.5031, modes=2, entropy=1.000, intra_var=0.515, sep=0.144
  Class 72: complexity=0.4964, modes=2, entropy=0.999, intra_var=0.469, sep=0.142
  Class 62: complexity=0.4853, modes=2, entropy=0.952, intra_var=0.468, sep=0.144
  Class 99: complexity=0.4858, modes=2, entropy=1.000, intra_var=0.401, sep=0.146
  Class 5: complexity=0.4775, modes=2, entropy=0.998, intra_var=0.347, sep=0.143
  Class 64: complexity=0.4834, modes=2, entropy=0.992, intra_var=0.394, sep=0.141
  Class 25: complexity=0.4589, modes=2, entropy=0.968, intra_var=0.265, sep=0.142
  Class 91: complexity=0.4548, modes=2, entropy=0.984, intra_var=0.220, sep=0.147
  Class 79: complexity=0.4813, modes=2, entropy=0.972, intra_var=0.416, sep=0.149
  Class 15: complexity=0.4794, modes=2, entropy=0.992, intra_var=0.372, sep=0.147
  Class 34: complexity=0.5046, modes=2, entropy=0.956, intra_var=0.595, sep=0.149
  Class 3: complexity=0.5035, modes=2, entropy=0.959, intra_var=0.581, sep=0.146
  Class 96: complexity=0.4876, modes=2, entropy=0.993, intra_var=0.421, sep=0.142
  Class 28: complexity=0.4948, modes=2, entropy=0.993, intra_var=0.468, sep=0.141
  Class 57: complexity=0.5084, modes=2, entropy=1.000, intra_var=0.547, sep=0.141
  Class 70: complexity=0.5164, modes=5, entropy=0.970, intra_var=0.425, sep=0.146
  Class 39: complexity=0.4386, modes=2, entropy=1.000, intra_var=0.087, sep=0.148
  Class 95: complexity=0.4398, modes=2, entropy=0.998, intra_var=0.099, sep=0.148
  Class 73: complexity=0.4586, modes=2, entropy=0.994, intra_var=0.231, sep=0.148
  Class 89: complexity=0.4872, modes=2, entropy=1.000, intra_var=0.406, sep=0.142
  Class 78: complexity=0.4504, modes=2, entropy=0.990, intra_var=0.181, sep=0.148
  Class 68: complexity=0.4284, modes=2, entropy=0.992, intra_var=0.040, sep=0.158
  Class 76: complexity=0.4808, modes=2, entropy=0.930, intra_var=0.475, sep=0.147
  Class 50: complexity=0.4738, modes=4, entropy=0.891, intra_var=0.366, sep=0.178
  Class 54: complexity=0.4426, modes=3, entropy=0.989, intra_var=0.059, sep=0.152
  Class 66: complexity=0.4464, modes=2, entropy=0.995, intra_var=0.150, sep=0.151
  Class 60: complexity=0.4845, modes=2, entropy=0.997, intra_var=0.397, sep=0.145
  Class 2: complexity=0.4685, modes=2, entropy=0.991, intra_var=0.297, sep=0.144
  Class 48: complexity=0.4905, modes=2, entropy=0.977, intra_var=0.475, sep=0.154
  Class 17: complexity=0.4799, modes=2, entropy=0.951, intra_var=0.431, sep=0.142
  Class 65: complexity=0.4155, modes=2, entropy=0.769, intra_var=0.280, sep=0.151
  Class 21: complexity=0.4757, modes=2, entropy=0.983, intra_var=0.367, sep=0.153
  Class 0: complexity=0.5117, modes=2, entropy=1.000, intra_var=0.573, sep=0.144
  Class 30: complexity=0.5037, modes=2, entropy=0.993, intra_var=0.528, sep=0.142
  Class 38: complexity=0.5161, modes=2, entropy=0.980, intra_var=0.642, sep=0.155
  Class 63: complexity=0.5056, modes=2, entropy=0.903, intra_var=0.675, sep=0.142
  Class 77: complexity=0.4996, modes=2, entropy=0.899, intra_var=0.651, sep=0.152
  Class 8: complexity=0.5428, modes=2, entropy=0.994, intra_var=0.796, sep=0.151
  Class 13: complexity=0.5235, modes=2, entropy=0.996, intra_var=0.663, sep=0.150
  Class 94: complexity=0.5051, modes=2, entropy=0.978, intra_var=0.562, sep=0.146
  Class 49: complexity=0.5275, modes=2, entropy=1.000, intra_var=0.681, sep=0.147
  Class 97: complexity=0.5658, modes=2, entropy=0.956, intra_var=1.000, sep=0.143
  Class 84: complexity=0.5061, modes=2, entropy=0.858, intra_var=0.746, sep=0.141
  Class 81: complexity=0.5690, modes=2, entropy=0.998, intra_var=0.957, sep=0.141
  Class 18: complexity=0.4809, modes=2, entropy=0.988, intra_var=0.392, sep=0.152
  Class 88: complexity=0.5362, modes=2, entropy=0.915, intra_var=0.870, sep=0.151
  Class 23: complexity=0.5203, modes=2, entropy=0.988, intra_var=0.653, sep=0.150
  Class 55: complexity=0.5533, modes=2, entropy=0.993, intra_var=0.874, sep=0.157
  Class 92: complexity=0.5359, modes=2, entropy=1.000, intra_var=0.736, sep=0.147
  Class 41: complexity=0.4648, modes=2, entropy=0.856, intra_var=0.472, sep=0.142
  Class 42: complexity=0.5031, modes=2, entropy=0.977, intra_var=0.552, sep=0.148
  Class 74: complexity=0.5510, modes=2, entropy=0.963, intra_var=0.903, sep=0.156
  Class 40: complexity=0.4702, modes=3, entropy=0.891, intra_var=0.384, sep=0.145
  Class 71: complexity=0.5443, modes=2, entropy=0.908, intra_var=0.935, sep=0.151
  Class 83: complexity=0.5123, modes=2, entropy=0.920, intra_var=0.699, sep=0.147
  Class 80: complexity=0.4836, modes=2, entropy=0.996, intra_var=0.411, sep=0.165
  Class 47: complexity=0.4819, modes=2, entropy=0.994, intra_var=0.385, sep=0.146
  Class 59: complexity=0.5018, modes=2, entropy=0.948, intra_var=0.585, sep=0.145
  Class 87: complexity=0.4975, modes=2, entropy=0.978, intra_var=0.517, sep=0.152
  Class 52: complexity=0.4491, modes=2, entropy=0.986, intra_var=0.202, sep=0.171
  Class 53: complexity=0.4869, modes=2, entropy=0.941, intra_var=0.503, sep=0.152
  Class 86: complexity=0.5019, modes=2, entropy=0.874, intra_var=0.699, sep=0.147
  Class 45: complexity=0.4580, modes=2, entropy=0.819, intra_var=0.487, sep=0.145
  Class 29: complexity=0.5039, modes=2, entropy=0.843, intra_var=0.755, sep=0.142
  Class 61: complexity=0.5260, modes=2, entropy=0.930, intra_var=0.775, sep=0.147
  Class 82: complexity=0.5257, modes=2, entropy=0.976, intra_var=0.701, sep=0.144
  Class 90: complexity=0.5648, modes=2, entropy=0.983, intra_var=0.961, sep=0.150
  Class 75: complexity=0.5029, modes=2, entropy=0.999, intra_var=0.530, sep=0.159
  Class 93: complexity=0.4555, modes=2, entropy=0.670, intra_var=0.690, sep=0.142
  Class 67: complexity=0.5019, modes=2, entropy=0.998, intra_var=0.561, sep=0.195
  Class 31: complexity=0.4992, modes=2, entropy=0.983, intra_var=0.520, sep=0.150
  Class 19: complexity=0.4322, modes=2, entropy=0.849, intra_var=0.273, sep=0.151
  Class 14: complexity=0.5084, modes=2, entropy=0.906, intra_var=0.689, sep=0.142
  Class 27: complexity=0.4884, modes=2, entropy=0.962, intra_var=0.475, sep=0.145
  Class 6: complexity=0.4383, modes=2, entropy=0.665, intra_var=0.582, sep=0.143
  Class 7: complexity=0.4696, modes=2, entropy=0.984, intra_var=0.317, sep=0.146
  Class 46: complexity=0.4979, modes=3, entropy=0.996, intra_var=0.439, sep=0.173
  Class 37: complexity=0.4234, modes=2, entropy=0.719, intra_var=0.415, sep=0.157
  Class 51: complexity=0.4935, modes=2, entropy=0.983, intra_var=0.485, sep=0.153
  Class 12: complexity=0.4906, modes=2, entropy=0.986, intra_var=0.458, sep=0.149
  Class 11: complexity=0.4389, modes=2, entropy=1.000, intra_var=0.116, sep=0.175
  Class 44: complexity=0.5308, modes=2, entropy=0.999, intra_var=0.703, sep=0.147
  Class 4: complexity=0.4460, modes=2, entropy=0.987, intra_var=0.162, sep=0.153
  Class 22: complexity=0.4517, modes=2, entropy=0.954, intra_var=0.252, sep=0.156
  Complexity: min=0.4155, max=0.5690
  K=2: 94 classes
  K=3: 3 classes
  K=4: 2 classes
  K=5: 1 classes
